57.0, 21.0, 58.0, 43.0, 0
65.0, 16.0, 81.0, 82.0, 1
25.0, 33.0, 52.0, 95.0, 2
86.0, 4.0, 100.0, 60.0, 3
38.0, 28.0, 67.0, 46.0, 4
13.0, 66.0, 69.0, 77.0, 5
61.0, 4.0, 98.0, 97.0, 6
0.0, 13.0, 94.0, 30.0, 7
31.0, 55.0, 37.0, 90.0, 8
44.0, 6.0, 58.0, 84.0, 9
16.0, 4.0, 41.0, 22.0, 10
50.0, 53.0, 66.0, 82.0, 11
57.0, 15.0, 86.0, 37.0, 12
60.0, 10.0, 78.0, 11.0, 13
17.0, 43.0, 95.0, 81.0, 14
27.0, 25.0, 41.0, 62.0, 15
18.0, 12.0, 46.0, 16.0, 16
65.0, 48.0, 78.0, 82.0, 17
1.0, 43.0, 35.0, 71.0, 18
8.0, 32.0, 33.0, 45.0, 19
58.0, 39.0, 87.0, 67.0, 20
24.0, 52.0, 91.0, 53.0, 21
49.0, 6.0, 60.0, 46.0, 22
40.0, 42.0, 58.0, 54.0, 23
44.0, 17.0, 49.0, 97.0, 24
0.0, 4.0, 42.0, 54.0, 25
5.0, 9.0, 11.0, 45.0, 26
46.0, 44.0, 99.0, 49.0, 27
50.0, 45.0, 73.0, 90.0, 28
65.0, 42.0, 70.0, 91.0, 29
